school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
CEDAR GIRLS' SECONDARY SCHOOL,http://www.cedargirlssec.moe.edu.sg,1    CEDAR AVENUE,349692,62884909,na,62820244,na,cedargirlss@moe.edu.sg,"WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT","8, 13, 61, 64, 65, 66, 90, 100, 107, 133, 135, 142, 147, 151, 154, 155, 853",MDM TEY KAH HWEE,MDM LIM YING YING,MDM TAN GEOK LAN,NULL,NULL,NULL,NULL,TOA PAYOH,EAST,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,Yes,Chinese,Malay,Tamil
CEDAR PRIMARY SCHOOL,Http://www.cedarpri.moe.edu.sg,15   CEDAR AVENUE,349700,62885633,na,62830113,na,CEDAR_PS@MOE.EDU.SG,Potong Pasir MRT Station,"8, 61, 64, 65, 66, 66A, 90, 90A, 100, 135, 151, 154, 155",MR CHRIS CHUA,MS CHOONG PEI CHIN,MDM NUR RASHIDAH BTE ABDUL RASHID,NULL,NULL,NULL,NULL,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CHANGKAT CHANGI SECONDARY SCHOOL,http://www.changkatchangisec.moe.edu.sg,23   SIMEI ST 3,529894,67859790,na,67868481,na,CHANGKATCHGI@MOE.EDU.SG,SIMEI MRT,"5, 9, 20, 38",MR HO MING DA,MISS LOH SEIN LING,MR DANNY CHEW POH HUAT,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
CHANGKAT PRIMARY SCHOOL,http://www.changkatpri.moe.edu.sg/,11   SIMEI ST 3,529896,67830923,na,67844740,na,CHANGKAT_PS@MOE.EDU.SG,Simei MRT Station,"9,38,5",MDM CHENG HUEY TENG,MDM SITI NAZRAH BTE ABDUL RAHMAN,NULL,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CHIJ (KATONG) PRIMARY,http://chijkcp.moe.edu.sg/,17   MARTIA ROAD,424821,63443072,na,63459007,na,CHIJKTPS@moe.edu.sg,EUNOS PAYA LEBAR,"15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",MDM CHUA SOOK LIAN JUDINA,MDM TAN POH KUAN JOYCELYN,NULL,NULL,NULL,NULL,NULL,BEDOK,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CHIJ (KELLOCK),http://www.chijkellock.moe.edu.sg/,1    Bukit Teresa Road,099757,62730096,na,62731710,na,CHIJKS@MOE.EDU.SG,Outram Park Station,"61, 124, 143, 166",MRS SHANTHI SURAJ NAIR,MS NG CHIOU HIEN HELEN,MRS CHAN-TIONG LE CHIN,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CHIJ KATONG CONVENT,http://www.chijkatongconvent.moe.edu.sg,346  MARINE TERRACE,449150,64486433,na,64494405,na,chijktcs@moe.edu.sg,"BEDOK MRT, KEMBANGAN MRT, EUNOS MRT, PAYA LEBAR MRT","4N, 13, 16, 31, 36, 36A, 36B, 43, 47, 48, 55, 134, 135, 135A, 150, 196, 196E, 197, 853C, 763",MDM CHAN GEK SAN PATRICIA,MDM ONG BEE HOON,MISS LIM AI HUI ANNIE,NULL,NULL,NULL,NULL,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil
CHIJ OUR LADY OF GOOD COUNSEL,http://www.chijourladyofgoodcounsel.moe.edu.sg,2C   Burghley Drive,558979,62886930,na,62814132,na,chijolgcs@moe.edu.sg,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135,136 from Ang Mo Kio Interchange.",MISS TAN LEE YIN GRACE,MRS WONG-LIM ENG LING ANGELINA,MISS LIAT MEI KUEN GERALDINE SHARON,NULL,NULL,NULL,NULL,SERANGOON,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CHIJ OUR LADY OF THE NATIVITY,http://www.chijourladyofthenativity.moe.edu.sg/,1257 UPPER SERANGOON ROAD,534793,63852455,na,63852012,na,chijoln@moe.edu.sg,Hougang MRT,"74, 102, 112, 113, 119, 136, 147, 324, 672",MDM CHRISTINA TEO,MDM YEO DAI YUN,MDM LIM HUI MEOW ANNIE,NULL,NULL,NULL,NULL,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CHIJ OUR LADY QUEEN OF PEACE,http://www.chijourladyqueenofpeace.moe.edu.sg/,4    Chestnut Drive,679287,67691529,na,67653551,na,CHIJOLQP@MOE.EDU.SG,Cashew and Hillview,"180, 67, 171, 176, 177, 178, 184, 961, 963, 970",MS ALBUQUERQUE KAREN ANNE,MISS CECILIA TAN LI HUA,MDM LOH AH LAH CATHERINE MICHELLE,NULL,NULL,NULL,NULL,BUKIT PANJANG,WEST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CHIJ PRIMARY (TOA PAYOH),http://www.chijpritoapayoh.moe.edu.sg,628  Lorong 1 Toa Payoh,319765,63532164,na,63536362,na,CHIJTPPS@MOE.EDU.SG,Toa Payoh,"59, 231, 141",DR TAN SOON KEE MARGARET,MDM MISCHA LEIGH PEREIRA,MRS CHARMAINE LEE,NULL,NULL,NULL,NULL,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CHIJ SECONDARY (TOA PAYOH),http://www.chijsec.edu.sg,626  LORONG 1 TOA PAYOH,319764,63534972,na,63544573,na,CHIJTPSS@MOE.EDU.SG,TOA PAYOH MRT,"59, 141, 231",MDM RACHEL ANG LAY KOON,MISS TEO GEOK SIAN,MISS PHUA AI LING ADELINE,NULL,NULL,NULL,NULL,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil
CHIJ ST. JOSEPH'S CONVENT,http://www.chijstjosephsconvent.moe.edu.sg,62   SENGKANG EAST WAY,548595,64897580,na,64897589,na,CHIJSJCS@MOE.EDU.SG,SENGKANG MRT,"50, 82, 86, 88, 119, 136",MRS VALERIE PINTO,MISS TAN KIM BERLINA,MISS HO WEI LING,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
CHIJ ST. NICHOLAS GIRLS' SCHOOL,http://www.chijstnicholasgirls.moe.edu.sg,501  ANG MO KIO STREET 13,569405,63541839 (Secondary),64549698 (Primary),64511335 (Secondary),64566169 (Primary),chijsng_sec@moe.edu.sg,"ANG MO KIO MRT, YIO CHU KANG MRT, MAYFLOWER MRT (End 2021)","76, 265, 268, 269",MDM FIONA YEO SU LING,MISS YEO TECK WOON,MS BAEY EE-LYN,MDM AMY TAN,MR TING POH LEONG ALOYSIUS,NULL,NULL,ANG MO KIO,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,MIXED LEVELS,Yes,Yes,No,Yes,Chinese,na,na
CHIJ ST. THERESA'S CONVENT,http://www.chijsttheresasconvent.moe.edu.sg,160  LOWER DELTA ROAD,099138,64775777,na,64775700,na,CHIJSTCS@MOE.EDU.SG,"HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855",MDM TAN MEI MEI JENNY,MDM ONG LEE LEE,"MISS KUO ZHAOYAN, FELICIA",NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
CHONGFU SCHOOL,http://www.chongfu.moe.edu.sg/,170  YISHUN AVENUE 6,768959,67585527,na,62579571,na,CFS@MOE.EDU.SG,Yishun MRT station,Feeder Service 811,MDM FOO MUI CHUW,MR SOON WOO SIN,MISS LIM HWEE MIEN ANGELYNNA,NULL,NULL,NULL,NULL,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CHONGZHENG PRIMARY SCHOOL,http://www.chongzhengpri.moe.edu.sg,1    TAMPINES STREET 21,529392,67819002,na,67845054,na,czps@moe.edu.sg,Tampines MRT Station,"3,3A, 8, 17, 18, 20, 28, 34, 39, 59, 518",MR LIM WEE JAMES,MDM RANJIT KAUR D/O MUKHTAR SINGH,NULL,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CHRIST CHURCH SECONDARY SCHOOL,http://www.christchurchsec.moe.edu.sg,20   WOODLANDS DRIVE 17,737924,68933297,na,68932789,na,ccss@moe.edu.sg,"WOODLANDS MRT, WOODLANDS SOUTH MRT","901, 901M, 665",MR LAU YAN BOON DAVID,MR ONG KAH HUI VICTOR,MRS LEE BEE CHEOW,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
CHUA CHU KANG PRIMARY SCHOOL,http://www.chuachukangpri.moe.edu.sg,20   CHOA CHU KANG AVENUE 2,689905,67661574,na,67661583,na,cckps@moe.edu.sg,Choa Chu Kang MRT Station and Southview LRT Station,"Bus Service 300, 301 and NR3 along Chua Chu Kang Ave 2 Bus Service 172, 301, 991 along Chua Chu Kang Ave 1",MDM KUEK YEN YEN SHEREE,MDM CHEW BOON HWEE,NULL,NULL,NULL,NULL,NULL,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CHUA CHU KANG SECONDARY SCHOOL,http://www.chuachukangsec.moe.edu.sg,3    TECK WHYE CRESCENT,688845,67655228,67664425,67636807,na,CCKSS@MOE.EDU.SG,CHOA CHU KANG MRT,"190, 307, 975, 982E, 985",MDM ONG LIANG FUNG,MDM HARTATI BTE OSMAN,NULL,NULL,NULL,NULL,NULL,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
CHUNG CHENG HIGH SCHOOL (MAIN),http://www.chungchenghighmain.moe.edu.sg,50   GOODMAN ROAD,439012,63441393,na,63449686,na,CCHMS@MOE.EDU.SG,DAKOTA MRT,"10, 12, 14, 16, 16M, 30, 31, 32, 33, 40, 43, 135, 134, 196, 197",MR CHAN YING YIN,DR ONG CHUN GHEE,"MDM TAN JWEE LYNN, CHERYL",NULL,NULL,NULL,NULL,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Chinese,na,na
CHUNG CHENG HIGH SCHOOL (YISHUN),http://www.chungchenghighyishun.moe.edu.sg,11   YISHUN STREET 61,768547,67583912,na,67587397,na,cchys@moe.edu.sg,KHATIB MRT,"85, 811, 812, 851, 852, 853, 854, 855, 858, 860, 965, 969",MR TAN YEE KAN,MRS CHONG LAI PENG NEE YEO,MR CHANG FOOK YONG,NULL,NULL,NULL,NULL,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
CLEMENTI PRIMARY SCHOOL,http://www.clementipri.moe.edu.sg,8    CLEMENTI AVE 3,129903,67797449,na,67732898,na,admin_clementi_ps@moe.edu.sg,Clementi MRT Station,We are just beside Clementi Bus Interchange.,MR VIMALENTHIRAN S/O VIJAYASINGAM,MRS TAN SIEW HONG,NULL,NULL,NULL,NULL,NULL,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CLEMENTI TOWN SECONDARY SCHOOL,http://www.clementitownsec.moe.edu.sg,10   CLEMENTI AVE 3,129904,67777362,na,67789543,na,ctss@moe.edu.sg,CLEMENTI MRT,"14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99",MDM LEE CHING GUAN HELEN,MISS LEONG KAI LING,MRS TAY CHEN LAI,NULL,NULL,NULL,NULL,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
COMMONWEALTH SECONDARY SCHOOL,http://www.commonwealthsec.moe.edu.sg,698  WEST COAST ROAD,608784,65606866,na,65645204,na,cwss@moe.edu.sg,"JURONG EAST MRT, CLEMENTI MRT","30, 51, 78, 79, 143, 143M, 176, 201",MR NG BOON KIAT,MR LEOW ZHI WEN PHILIBERT,NULL,NULL,NULL,NULL,NULL,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil
COMPASSVALE PRIMARY SCHOOL,http://www.compassvalepri.moe.edu.sg/,21   COMPASSVALE ST,545091,63882819,na,63882798,na,cvps@moe.edu.sg,Sengkang,"83 (along Compassvale Street) 27, 89, 89E & 965 (along Compassvale Road).",MR JEFFREY AW,MDM YEOW CHERN EE,NULL,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
COMPASSVALE SECONDARY SCHOOL,http://www.compassvalesec.moe.edu.sg,51   COMPASSVALE CRESCENT,545083,68815047,na,68815998,na,CVSS@MOE.EDU.SG,"SENGKANG MRT, COMPASSVALE LRT","27, 27A, 82,  83,  86,  88,  89, 89E, 136, 161, 371, 965",MR CHIA CHOR YANN,MR SUKHDEV SINGH S/O GURDEEP SINGH,MISS KEE LEE LING,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
CONCORD PRIMARY SCHOOL,http://www.concordpri.moe.edu.sg/,3    CHOA CHU KANG AVE 4,689814,67632139,na,67632452,na,CONCORD_PS@MOE.EDU.SG,Choa Chu Kang MRT Station,Bus 300 and 983,MR TAN SIEW TIONG,MS LIM KAR WAE FIONA,MDM GOH PUAY HOON JENNY,NULL,NULL,NULL,NULL,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CORPORATION PRIMARY SCHOOL,http://www.corporationpri.moe.edu.sg,31   JURONG WEST STREET 24,648347,67957381,na,67957098,na,cps@moe.edu.sg,BOON LAY STATION LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",MRS JENNIFER PANG CHEE CHYN,MDM POON GEK HONG,MRS CHRISTINA TAN-LIM LAY LENG,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
CRESCENT GIRLS' SCHOOL,http://www.crescent.edu.sg,357  TANGLIN ROAD,247961,64758711,na,64741248,na,CRESCENTGIRL@MOE.EDU.SG,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",MRS HELEN CHONG,MISS USHA JEYARAJAH,NULL,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil
CREST SECONDARY SCHOOL,http://www.crestsec.edu.sg,561  JURONG EAST STREET 24,609561,68992779,na,68992668,na,info@crestsec.edu.sg,"BUKIT BATOK MRT, JURONG EAST MRT","41, 52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502, 868, 990",MR SEET TIAT HEE,MR HO KUM FAI SAM,MR CHAN TECK HONG DAVID,NULL,NULL,NULL,NULL,JURONG EAST,WEST,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
DAMAI PRIMARY SCHOOL,http://www.damaipri.moe.edu.sg,52   BEDOK RESERVOIR CRESCENT,479226,64456483,na,64499681,na,DAMAI_PS@MOE.EDU.SG,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",MRS LEONG- TAN LING LING JENNY,MDM LIM PECK CHIN YENLYN,NULL,NULL,NULL,NULL,NULL,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
DAMAI SECONDARY SCHOOL,http://www.damaisec.moe.edu.sg,4800 BEDOK RESERVOIR ROAD,479229,64436848,na,64425629,na,damai_ss@moe.edu.sg,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",MDM CHAN WAN SIONG,MRS OH WEE MING,MR SIVAKUMAR S/O VISWANATHAN,NULL,NULL,NULL,NULL,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
DAZHONG PRIMARY SCHOOL,http://www.dazhongpri.moe.edu.sg,35   BUKIT BATOK STREET 31,659441,65658002,na,65636421,na,dazhong_ps@moe.edu.sg,Bukit Gombak,"187, 188",MDM YAP SIU LIN,MR PHANG TECK HOW,MRS BOEY- LIM SEOW KHIM,NULL,NULL,NULL,NULL,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
DE LA SALLE SCHOOL,http://www.delasalle.moe.edu.sg,11   Choa Chu Kang St 52,689285,67667675,na,67622075,na,dlss@moe.edu.sg,YEW TEE MRT,"TIBS 302, 979",MDM CHERYL CHOO SHUEH-LI,MR CHING KIN HIN,NULL,NULL,NULL,NULL,NULL,CHOA CHU KANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
DEYI SECONDARY SCHOOL,http://www.deyisec.moe.edu.sg,1    ANG MO KIO STREET 42,569277,64561565,na,64583364,na,DEYI_SS@MOE.EDU.SG,ANG MO KIO MRT,"22, 24, 25, 45, 50, 55, 73, 74, 76, 88, 132, 135, 159, 162, 165, 261, 262, 268, 652, 853",MRS LIM AI POO,MDM TAN SHAO MAY,MR APOLLOS INDUCHOODAN S/O R A P,NULL,NULL,NULL,NULL,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
DUNEARN SECONDARY SCHOOL,http://www.dunearnsec.moe.edu.sg,21   BUKIT BATOK WEST AVENUE 2,659204,65653692,na,65668650,na,DUNEARN_SS@MOE.EDU.SG,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",MDM TAN MIAO LING,MRS SHANTHIMALAR SOMASUNDRAM,MISS TAY JIA MING JASMINE,NULL,NULL,NULL,NULL,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
DUNMAN HIGH SCHOOL,http://www.dunmanhigh.moe.edu.sg,10   TANJONG RHU ROAD,436895,63450533,na,63442316,na,DHS@MOE.EDU.SG,"ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT","12, 14, 30, 158, 196",MR LOW TECK ENG TONY,MISS LIE SUYIN JAMIE,MDM LEONG SOOK HING,MR CHUA KAH SHENG,NULL,NULL,NULL,KALLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,Yes,Yes,Yes,Yes,Chinese,na,na
DUNMAN SECONDARY SCHOOL,http://www.dunmansec.moe.edu.sg,21   TAMPINES STREET 45,529093,67862668,na,67842164,na,DUNMAN_SS@MOE.EDU.SG,TAMPINES EAST MRT,"28, 29, 293",MR TOH THIAM CHYE,MRS CLAIRE CHO,MR MOHAMED SAYADI BIN MOHAMED NOR,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil
EAST SPRING PRIMARY SCHOOL,http://www.eastspringpri.moe.edu.sg,31   TAMPINES ST 33,529258,67866192,na,67866649,na,esps@moe.edu.sg,Tampines,"291, 28,18",MR WONG KIN MUN,MRS LEE-GOH SIEW LING MARIA,NULL,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
EAST SPRING SECONDARY SCHOOL,http://www.eastspringsec.moe.edu.sg,30   TAMPINES STREET 34,529231,65873805,na,65873804,na,esss@moe.edu.sg,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",MISS HO SUSIE,MR ANG JOHNNY,MR TAN SHIN EIK,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
EDGEFIELD PRIMARY SCHOOL,http://www.edgefieldpri.moe.edu.sg,41   EDGEFIELD PLAINS,828869,63126091,na,63126093,na,edgefield_ps@moe.edu.sg,Punggol MRT,"3, 34, 62, 82, 83, 136",MR MICHEL SAW MUN SEONG,MR LOW KAH HENG THOMAS,MDM FAZILAH MARICAR D/O MD ALI M,NULL,NULL,NULL,NULL,PUNGGOL,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
EDGEFIELD SECONDARY SCHOOL,http://www.edgefieldsec.moe.edu.sg,36   PUNGGOL FIELD,828814,68839511,na,63153120,na,edgefield_ss@moe.edu.sg,PUNGGOL MRT,"3, 34, 62, 82, 83, 119, 136, 381, 382G",MR LEE PECK PING,MDM LIM PUAY KHENG,MR BENSON TEO HONG GUAN,NULL,NULL,NULL,NULL,PUNGGOL,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
ELIAS PARK PRIMARY SCHOOL,http://www.eliasparkpri.moe.edu.sg,11   PASIR RIS STREET 52,518866,65844393,na,65844392,na,epps@moe.edu.sg,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",MDM CHUA PEI PEI,MRS ESTHER SEE-LING SZENGEN,MR MOHAMAD NOOR BIN ABDUL MANAF @,NULL,NULL,NULL,NULL,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
ENDEAVOUR PRIMARY SCHOOL,https://endeavourpri.moe.edu.sg/,10   Admiralty Link,757521,64824650,64824835,64824670,na,endeavour_ps@moe.edu.sg,Sembawang MRT Station,"859, 962",MR KOH KIAN SENG THOMAS,MR RAZALI B SENIN,MDM CHUA HUI PIN,NULL,NULL,NULL,NULL,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na
EUNOIA JUNIOR COLLEGE,http://www.eunoiajc.moe.edu.sg,2    Sin Ming Place,573838,63518388,na,63518399,na,eunoiajc@moe.edu.sg,"Bishan MRT Station, Marymount MRT Station, Ang Mo Kio MRT Station","13, 52, 74, 88, 130, 410G, 410W, 851, 852",MDM CHEANG MEI HENG,MR TAY JUNCHENG ADRIAN,MR CHEN XUANTING EDMUND,NULL,NULL,NULL,NULL,BISHAN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,Yes,Chinese,Malay,Tamil
EUNOS PRIMARY SCHOOL,http://www.eunospri.moe.edu.sg/,95   JALAN EUNOS,419529,67463336,na,67488554,na,eunos_ps@moe.edu.sg,Nearest MRT Station - Eunos,"Bus Services (SBS): 15, 21, 25, 51, 55, 63, 93, 94, 60 Bus Services (SMRT) : 61, 854, 966",MDM PHUA YIN LIN GRACE,MDM TAN KIM YAN,NULL,NULL,NULL,NULL,NULL,GEYLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
EVERGREEN PRIMARY SCHOOL,http://www.evergreenpri.moe.edu.sg/,31   WOODLANDS CIRCLE,738908,63687705,na,63688084,na,EVERGREEN_PS@MOE.EDU.SG,Admiralty,"913(front), 911 & 858(back)",MDM RABIATHUL BAZRIYA D/O ABU BAKAR,MDM YEO SIAU YEN,MRS PETRINA KOH,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
EVERGREEN SECONDARY SCHOOL,http://www.evergreensec.moe.edu.sg,11   WOODLANDS STREET 83,738489,63656392,na,63658083,na,EVERGREEN_SS@MOE.EDU.SG,WOODLANDS MRT,911,MR TOH KIM YONG VINCENT,MR CHUA TUNG KIAN,MR LAK YAU HUI,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
FAIRFIELD METHODIST SCHOOL (PRIMARY),http://www.fmsp.moe.edu.sg/,100  DOVER ROAD,139648,67788431,na,67762948,na,fmsp@moe.edu.sg,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",MDM LAW LI MEI,MDM QUEK TSUI LAN PRISCA,NULL,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
